Dealer Name	Dealer Address	Owner Name	Dealer ID	Owner ID	New	Used
Sally's Honda Plus	8187 Kline Ave, Clarksville, NC	Walker, Sally	1	1	1105	915
Ed's Honda One	7243 Lee Road, Clarksville, NC	Tipton, Ed	2	2	1105	915
Jones Honda Dealer	6957 Davison Highway, Clarksville, NC	Jones, Kelly	3	3	1105	915
Wallace Honda	2132 Tupelo Road, Clarksville, NC	Wallace, Patrick	4	4	1105	915
Top Pick Honda	2795 Brooklin Ave, Harrison, SC	Houseman, Jonathan	5	5	467	386
Your Honda	3145 Brooklin Ave, West Junction, AL	Frederick, Ted	6	6	1233	1021
Value Honda	6846 Harrison Ave, West Junction, AL	Walker, Shelly	7	7	1233	1021
Yancy Honda	351 Washington St, West Junction, AL	Yancy, Clark	8	8	1233	1021
Glenn Honda	2717 US Route 31, West Junction, AL	Glenn, Adam	9	9	1233	1021
Walker Honda	1240 Harrison Ave, Port Kiln, SC	Walker, Shelly	10	7	1044	864
Harrison Honda	692 Sanders Ave, Port Kiln, SC	Harrision, Owen	11	10	1044	864
King Honda	9974 Brooklin Ave, Port Kiln, SC	King, Carl	12	11	1044	864
Royal Honda	8627 Davis Highway, Port Kiln, SC	Olson, Julie	13	12	1044	864
Donner Honda	9484 Ford Parkwark, Hinds, NC	Donner, Earl	14	13	425	351
Olson Honda	3074 Davison Highway, Norbert, FL	Olson, Howard	15	14	1060	878
Quality Honda	1624 Tupelo Road, Norbert, FL	Simpson, Homer	16	15	1060	878
Lance Honda	1136 Brooklin Ave, Norbert, FL	Lance, Samuel	17	16	1060	878
Kronnen Honda	4641 Johnstown Drive, Norbert, FL	Kronnen, Winston	18	17	1060	878
Thomas Team Honda	2825 Kline Ave, Grayland, TN	Thomas, Phil	19	18	184	152
Shelly Walker Honda	8797 Dixon Drive, New Whales, SC	Walker, Sally	20	1	502	415
Bill Travers Honda	7043 George Parson Highway, Grand Traverse, AL	Travers, Bill	21	19	792	655
Honda Importers	8826 Escanaba Drive, Grand Traverse, AL	Isern, Maureen	22	20	792	655
Honda Specialists	7064 Kline Ave, Grand Traverse, AL	Young, Walter	23	21	792	655
Young & Parsons Honda	7322 Youngstown Highway, Ridge Island, AL	Young, Walter	24	21	208	172
City Honda	9489 Ford Parkwark, Brookland, GA	Porter, Barbara	25	22	1048	867
Freeman Honda	2332 Bob Jones St, Brookland, GA	Freeman, Greg	26	23	1048	867
Honda Pro	923 Green St, Brookland, GA	Palmer, John	27	24	1048	867
Isern Honda	9833 Florida Highway, Brookland, GA	Isern, Maureen	28	20	1048	867
Carter Honda	2499 Bob Jones St, Louderdale, FL	Carter, Jimmy	29	25	1126	932
State Honda	1322 Centerville Road, Louderdale, FL	Samuels, Sammy	30	26	1126	932
Superior Honda	8799 Dixie Highway, Louderdale, FL	Griner, Thomas	31	27	1126	932
Adams Honda	4008 Lee Road, Louderdale, FL	Adams, Jon	32	28	1126	932
Duncan Honda	2069 California Blvd, Granger, AL	Duncan, Phil	33	29	881	729
Newton Honda	4893 Brooklin Ave, Granger, AL	Newton, Robert	34	30	881	729
Riverside Honda	9663 Mason Road, Granger, AL	Riverside, Francis	35	31	881	729
Zeigler Honda	2940 Davison Highway, Sawyer, TN	Zeigler, Martin	36	32	424	351
Moosebury Honda	7343 Washington St, East Valley, FL	Moosebury, Hank	37	33	1022	846
Kaplan Honda	1605 Nebraska Blvd, East Valley, FL	Kaplan, Edward	38	34	1022	846
Lakeside Honda	6205 Meridian Road, East Valley, FL	Isern, Maureen	39	20	1022	846
