The Shawshank Redemption, 1994, 1, 73316, 701788, 144104
Fight Club, 1999, 10, 71697, 77310, 149007
Monty Python and the Holy Grail, 1975, 100, 72841, 75101, 147942
L.A. Confidential, 1997, 101, 79191, 76124, 155315
For a Few Dollars More, 1965, 102, 70443, 73422, 143865
3 Idiots, 2009, 103, 77872, 73314, 151186
Rashomon, 1950, 104, 71174, 71054, 142228
Scarface, 1983, 105, 74852, 70224, 145076
The Apartment, 1960, 106, 71204, 75642, 146846
Indiana Jones and the Last Crusade, 1989, 107, 75859, 74086, 149945
The Hunt, 2012, 108, 76814, 72377, 149191
A Separation, 2011, 109, 70550, 78716, 149266
The Lord of the Rings: The Fellowship of the Ring, 2001, 11, 78153, 76554, 154707
Metropolis, 1927, 110, 77849, 74959, 152808
Good Will Hunting, 1997, 111, 71101, 75721, 146822
All About Eve, 1950, 112, 70176, 78085, 148261
Yojimbo, 1961, 113, 75674, 70900, 146574
Batman Begins, 2005, 114, 72546, 70423, 142969
The Treasure of the Sierra Madre, 1948, 115, 73525, 70090, 143615
Some Like It Hot, 1959, 116, 72511, 73784, 146295
Up, 2009, 117, 75862, 70211, 146073
Unforgiven, 1992, 118, 76237, 71548, 147785
Andaz Apna Apna, 1994, 119, 68841, 75537, 144378
Star Wars: Episode V - The Empire Strikes Back, 1980, 12, 68913, 75440, 144353
Downfall, 2004, 120, 71143, 69309, 140452
The Third Man, 1949, 121, 73685, 69901, 143586
Raging Bull, 1980, 122, 68610, 74336, 142946
Die Hard, 1988, 123, 72522, 68248, 140770
Children of Heaven, 1997, 124, 69232, 69491, 138723
The Great Escape, 1963, 125, 71598, 70444, 142042
Heat, 1995, 126, 70175, 76118, 146293
Chinatown, 1974, 127, 68524, 68477, 137001
Inside Out, 2015, 128, 68624, 74436, 143060
The Bandit, 1996, 129, 68780, 75560, 144340
Forrest Gump, 1994, 13, 72281, 70028, 142309
Hera Pheri, 2000, 130, 73350, 69726, 143076
Pan's Labyrinth, 2006, 131, 72200, 69878, 142078
A Wednesday, 2008, 132, 67828, 75236, 143064
Ikiru, 1952, 133, 71798, 73161, 144959
